Nodal Displacements: 
Node    u1       u2 
240    0.0107   -0.0037   -0.0030    1.2252    0.1218   -0.2293
241    0.0153   -0.0063   -0.0018    1.6978    0.0365   -0.1405
242    0.0185   -0.0099   -0.0007    1.9227   -0.2619   -0.0530
243    0.0175   -0.0079    0.0026    1.9017   -0.0585    0.2031
244    0.0169   -0.0077    0.0015    1.8307   -0.0628    0.1156
245    0.0159   -0.0079    0.0012    1.6872   -0.1490    0.0935
246    0.0133   -0.0059    0.0026    1.4490   -0.0302    0.2033
247    0.0107   -0.0038    0.0025    1.2203    0.1096    0.1905
248    0.0071   -0.0004   -0.0008    0.9401    0.3614   -0.0614
249    0.0043   -0.0005    0.0000    0.5518    0.1780    0.0007
250    0.0072   -0.0006   -0.0008    0.9346    0.3379   -0.0637
251    0.0053   -0.0014   -0.0028    0.6381    0.1184   -0.2116
252    0.0115   -0.0040   -0.0018    1.3172    0.1285   -0.1347
253    0.0125   -0.0046    0.0003    1.4112    0.0989    0.0232
254    0.0108   -0.0056    0.0026    1.1252   -0.1384    0.1967
255    0.0153   -0.0084    0.0032    1.5688   -0.2516    0.2475
256    0.0075   -0.0017   -0.0023    0.9116    0.2075   -0.1773
257    0.0053   -0.0014   -0.0028    0.6377    0.1188   -0.2116
258    0.0073   -0.0014   -0.0026    0.9042    0.2328   -0.1962
259    0.0059   -0.0016    0.0018    0.7015    0.1277    0.1413
260    0.0112   -0.0062   -0.0030    1.1577   -0.1815   -0.2323
261    0.0121   -0.0067   -0.0048    1.2377   -0.2061   -0.3727
262    0.0088   -0.0052    0.0060    0.8859   -0.1899    0.4622
263    0.0076   -0.0017    0.0023    0.9286    0.2066    0.1758
264    0.0172   -0.0087   -0.0004    1.8158   -0.1757   -0.0338
265    0.0112   -0.0062   -0.0030    1.1577   -0.1799   -0.2321
266    0.0199   -0.0089   -0.0038    2.1622   -0.0461   -0.2889
267    0.0184   -0.0095   -0.0016    1.9265   -0.2153   -0.1246
268    0.0108   -0.0057    0.0026    1.1272   -0.1385    0.1968
269    0.0152   -0.0084    0.0032    1.5680   -0.2502    0.2473
270    0.0132   -0.0056    0.0032    1.4583    0.0072    0.2486
271    0.0077   -0.0018    0.0023    0.9302    0.2062    0.1764
272    0.0098   -0.0037   -0.0039    1.1068    0.0725   -0.3035
273    0.0084   -0.0034   -0.0046    0.9331    0.0238   -0.3529
274    0.0199   -0.0089   -0.0038    2.1627   -0.0462   -0.2893
275    0.0184   -0.0095   -0.0016    1.9267   -0.2150   -0.1251
276    0.0084   -0.0035   -0.0046    0.9321    0.0195   -0.3557
277    0.0103   -0.0036   -0.0025    1.1824    0.1074   -0.1901
278    0.0031   -0.0016    0.0005    0.3205   -0.0416    0.0408
279    0.0086   -0.0034    0.0035    0.9597    0.0402    0.2656
280    0.0046   -0.0036   -0.0066    0.4081   -0.2242   -0.5060
281    0.0058   -0.0017   -0.0020    0.6854    0.1089   -0.1549
282    0.0103   -0.0036   -0.0025    1.1799    0.1074   -0.1907
283    0.0126   -0.0059   -0.0028    1.3537   -0.0672   -0.2187
284    0.0074   -0.0016    0.0027    0.9063    0.2180    0.2074
285    0.0088   -0.0052    0.0060    0.8895   -0.1883    0.4603
286    0.0058   -0.0004    0.0010    0.7615    0.2825    0.0769
287    0.0059   -0.0016    0.0019    0.7032    0.1295    0.1425
288    0.0046   -0.0036   -0.0065    0.4060   -0.2211   -0.5031
289    0.0058   -0.0017   -0.0020    0.6856    0.1100   -0.1533
290    0.0031   -0.0016    0.0006    0.3207   -0.0402    0.0438
291    0.0086   -0.0034    0.0035    0.9618    0.0406    0.2660
292    0.0132   -0.0056    0.0032    1.4589    0.0071    0.2488
293    0.0096   -0.0042    0.0047    1.0464   -0.0124    0.3627
294    0.0058   -0.0004    0.0010    0.7608    0.2827    0.0761
295    0.0064   -0.0005    0.0000    0.8318    0.2977    0.0015
296    0.0075   -0.0017   -0.0023    0.9101    0.2060   -0.1788
297    0.0086   -0.0036   -0.0039    0.9520    0.0099   -0.2994
